id	path	sha256	total	passed	failed	skipped	failing_tests	first_assertion_or_exception	classification	guard_or_row	successor_trx	exclusion_reason	locator
AS-F001	server/tests/TagEkyc.IntegrationTests/TestResults/a3-assembly-g1-second-barrier-red.trx	9FC439D660948FC6E2EB55B363E1E425F5CF2352B83EE24C8F7FB6167FADC718	2	1	1	0	TagEkyc.IntegrationTests.Tip88C1C1ResolverAssemblyTests.C113_second_fresh_barrier_immediately_precedes_prepare	Assert.Equal() Failure: Values differ Expected: 1 Actual: 2	EVIDENCE_RED	AS-G1/P29			packet AS-G1; matrix AS-A2
AS-F002	server/tests/TagEkyc.IntegrationTests/TestResults/a3-assembly-g2-shared-unavailable-red.trx	4219403DFA105725E80E88B612C949914AF38C811E0CB40162F2F52F6709E001	2	0	2	0	TagEkyc.IntegrationTests.Tip88C1C1ResolverAssemblyTests.C102_missing_duplicate_or_mismatched_source_has_zero_bindings; TagEkyc.IntegrationTests.Tip88C1C1ResolverAssemblyTests.A3_ASSEMBLY_P33_SelectedCommittedSourceIsUnavailableWithoutProviderRead	Assert.Equal() Failure: Strings differ ↓ (pos 0) Expected: "SourceUnavailable" Actual: "BindingConflict" ↑ (pos 0)	EVIDENCE_RED	AS-G2/P30+P33			packet AS-G2; matrix AS-S0/AS-SU
AS-F003	server/tests/TagEkyc.IntegrationTests/TestResults/a3-assembly-g3-fingerprint-red.trx	416A05C56EA53E7997EA5E4CD81DDBA613B9D458E6EA3AF43456C7DFAA1AB8ED	1	0	1	0	TagEkyc.IntegrationTests.Tip88C1C1ResolverAssemblyTests.C104_frozen_binding_is_insert_once_and_exact_replay_only	Assert.Equal() Failure: Strings differ ↓ (pos 0) Expected: "Frozen" Actual: "BindingConflict" ↑ (pos 0)	SUPERSEDED_RED	AS-G3/P32	a3-assembly-g3-fingerprint-replay-red-v2.trx		packet AS-G3 superseded locator
AS-F004	server/tests/TagEkyc.IntegrationTests/TestResults/a3-assembly-g3-fingerprint-replay-red-v2.trx	5C0F1184FF1DB7211BFB637FDE5B31A4ED1B87373AB8996ADF26CC2B1487AE8D	1	0	1	0	TagEkyc.IntegrationTests.Tip88C1C1ResolverAssemblyTests.C104_frozen_binding_is_insert_once_and_exact_replay_only	Assert.Equal() Failure: Strings differ ↓ (pos 0) Expected: "ExistingMatch" Actual: "BindingConflict" ↑ (pos 0)	EVIDENCE_RED	AS-G3/P32			packet AS-G3; matrix AS-SC component control
